tconst,title,region,language,primaryTitle,originalTitle,startYear,genres,directors,writers
tt12409884,Mister Karthik,IN,ta,Mr. Karthik,Mr. Karthik,1990.0,,nm0437782,
tt12625756,Curuḷi,IN,ml,Churuli,Churuli,2021.0,"Fantasy,Horror,Mystery",nm3859342,"nm8340689,nm11706855"
tt12631654,Rand,IN,ml,Randu,Randu,2022.0,Comedy,nm11706735,nm11706736
tt1263790,Kathala Kathala,IN,ta,Kaathala Kaathala,Kaathala Kaathala,1998.0,"Comedy,Drama,Romance",nm0801870,"nm1190372,nm0352032"
tt12665168,Kadhalar Kudiyiruppu,IN,ta,Police Quarters,Police Quarters,2011.0,Romance,"nm5374119,nm15703060",nm5374119
tt12677132,Oru Paathiraa Swapnam Pole,IN,ml,Like a Midnight Dream,Like a Midnight Dream,2021.0,"Drama,Short",nm9663220,nm9663220
tt12700440,Dandam Dashagunam: The Police,IN,kn,Dandam Dashagunam,Dandam Dashagunam,2011.0,"Action,Crime,Drama",nm7843279,"nm7843279,nm0707494,nm1069826"
tt1278022,Chakravarthy,IN,kn,Chakravarthi,Chakravarthi,1990.0,Drama,nm1321189,"nm1321189,nm12408145"
tt12782448,Bichagadu 2,IN,ta,Pichaikkaran 2,Pichaikkaran 2,2023.0,"Action,Drama,Sci-Fi",nm2537099,"nm14550799,nm2537099,nm9281400,nm12550908"
tt1283527,Samsara Nouke,IN,kn,Samsara Nauka,Samsara Nauka,1989.0,,nm1321189,"nm1321189,nm12408145"
tt12874604,Nagercoil Sandhippu,IN,ta,Nagerkoil Sandhippu,Nagerkoil Sandhippu,2014.0,"Drama,Romance",nm11807157,
tt12953548,Super Saranya,IN,ml,Super Sharanya,Super Sharanya,2022.0,"Comedy,Romance",nm9214307,nm9214307
tt13004760,Grr,IN,ml,Grrr...,Grrr...,2024.0,"Comedy,Drama,Family",nm8870020,"nm8870020,nm15643182"
tt13018100,Oru Thathvika Avalokhanam,IN,ml,Oru Thathvika Avalokanam,Oru Thathvika Avalokanam,2021.0,Comedy,nm11864664,nm11864664
tt13034494,Nilanadukkam,IN,ta,The Tremor,The Tremor,2020.0,Mystery,nm11210316,nm11210316
tt13126492,Pathombatham Noottandu,IN,ml,Pathonpatham Noottandu,Pathonpatham Noottandu,2022.0,"Action,Drama,History",nm0898524,nm0898524
tt13129404,Patchi,IN,ta,Pakshi,Pakshi,2025.0,Adventure,nm9134023,
tt13144110,Visithiran,IN,ta,Vichithiran,Vichithiran,2022.0,"Crime,Drama,Thriller","nm1500124,nm14195670",nm1892316
tt13162144,Kaanekaane,IN,ml,Kaanekkaane,Kaanekkaane,2021.0,"Drama,Thriller",nm6425711,"nm1547713,nm1332681"
tt13170838,Artham Anartham,IN,ml,Sense Nonsense,Sense Nonsense,2020.0,"Animation,Short",nm11931396,nm11931396
tt1319168,Shakthi,IN,kn,Shakti,Shakti,1988.0,,"nm0694887,nm0694883","nm0201897,nm6916055,nm0694887"
tt1319656,Rasthe Raja,IN,kn,Raste Raja,Raste Raja,1986.0,,nm3187753,"nm8989313,nm1033297"
tt1321466,Revolver Rani,IN,ta,Rowdy Rani,Rowdy Rani,1970.0,,nm0201897,
tt13256400,KaKaaKa,IN,ml,Kanakam Kaamini Kalaham,Kanakam Kaamini Kalaham,2021.0,Comedy,nm10365311,nm10365311
tt13275740,Kotthu,IN,ml,Kotthu,Kotthu,2022.0,"Drama,Thriller",nm0539034,nm6697628
tt1332499,Chapala Chennigaraya,IN,kn,Chappala Channigaraya,Chappala Channigaraya,1990.0,,nm0080258,"nm0080180,nm0080258,nm6916055"
tt13334870,Naaradan,IN,ml,Naradan,Naradan,2022.0,"Drama,Thriller",nm3351235,nm2634191
tt13365662,Given,IN,ml,Datham,Datham,2019.0,"Drama,Short",nm12021733,nm12021733
tt13430782,Jaaneman,IN,ml,Jan.E.Man,Janeman,2021.0,Comedy,nm10267229,"nm10267229,nm2651532,nm5506120"
tt13459376,Prakashan Parakatte,IN,ml,Prakashan Parakkatte,Prakashan Parakkatte,2022.0,"Comedy,Drama,Family",nm8624302,nm6098360
tt13468976,Aarattu,IN,ml,Aaraattu,Aaraattu,2022.0,"Action,Comedy",nm2053461,nm1437907
tt1349023,Raktha Thilaka,IN,kn,Rakta Tilaka,Rakta Tilaka,1983.0,,nm1497573,"nm2039286,nm1497573,nm1033297"
tt13507836,Kuttrame Kakka,IN,ta,Kutrame Kaakka,Kutrame Kaakka,2020.0,"Crime,Short,Thriller",nm12084381,nm12084381
tt13531020,Kumaari,IN,ml,Kumari,Kumari,2022.0,"Horror,Thriller",nm5432920,"nm14138492,nm5432920"
tt1354074,Suprabhatha,IN,kn,Suprabhata,Suprabhata,1988.0,,nm0045068,"nm0045068,nm1033297"
tt13553396,Kayamai Kadakka,IN,ta,Parallel Lines,Kayamai Kadakka,2021.0,"Action,Drama,Thriller",nm6556174,nm6556174
tt13624868,Udumbu,IN,ml,Udumb,Udumb,2021.0,Thriller,nm7509231,"nm12138811,nm12138812"
tt1364236,Kaithi Rani,IN,ta,Khaidi Rani,Khaidi Rani,1986.0,"Action,Drama",nm0201897,
tt1365436,Ananda Thandavam,IN,ta,Anandha Thandavam,Anandha Thandavam,2009.0,Romance,nm1953963,nm0837675
tt1365485,Marudhamalai,IN,ta,Maruthamalai,Maruthamalai,2007.0,"Action,Comedy",nm1351624,nm8661566
tt1369465,Bahaddur Hennu,IN,kn,Bahadur Hennu,Bahadur Hennu,1993.0,,nm1032623,"nm1032623,nm9310168"
